2022-04-25 14:06:08.858  INFO [authorizationService,,] 14316 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-04-25 14:06:08.860  INFO [authorizationService,,] 14316 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-04-25 14:06:09.011  INFO [authorizationService,2627daf38a761db6,079f0ec53aadc5eb] 14316 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-04-25 14:06:09.013  INFO [authorizationService,2627daf38a761db6,079f0ec53aadc5eb] 14316 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-04-25 14:06:09.191  INFO [authorizationService,2627daf38a761db6,079f0ec53aadc5eb] 14316 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-04-25 14:06:09.194  INFO [authorizationService,2627daf38a761db6,079f0ec53aadc5eb] 14316 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : END - generateToken
2022-04-25 14:06:46.282  INFO [authorizationService,8fadf324f07bc3dd,f839c935f7618499] 14316 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-04-25 14:06:46.282  INFO [authorizationService,8fadf324f07bc3dd,f839c935f7618499] 14316 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-04-25 14:06:46.283  INFO [authorizationService,8fadf324f07bc3dd,f839c935f7618499] 14316 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-04-25 14:06:46.284  INFO [authorizationService,8fadf324f07bc3dd,f839c935f7618499] 14316 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : END - generateToken
2022-04-25 14:11:55.967  INFO [authorizationService,,] 14316 --- [Thread-7] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-04-25 14:11:55.968  INFO [authorizationService,,] 14316 --- [Thread-7] .SchemaDropperImpl$DelayedDropActionImpl : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2022-04-25 14:11:56.186  WARN [authorizationService,,] 14316 --- [Thread-7] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
